Date,Name,Year,Letterboxd URI,Rating
2023-11-16,Spirited Away,2001,https://boxd.it/2b4m,5
2023-11-18,About My Father,2023,https://boxd.it/vfcC,3
2023-11-18,Marry Me,2022,https://boxd.it/mLSC,4
2023-11-18,House of Gucci,2021,https://boxd.it/nVkC,3.5
2023-11-21,Your Name.,2016,https://boxd.it/cUqs,5
2023-11-26,The Good Mother,2023,https://boxd.it/BEzy,3
2023-11-26,Music and Lyrics,2007,https://boxd.it/1Usw,5
2023-11-26,The Birdcage,1996,https://boxd.it/1UTi,5
2023-11-27,Battle of the Sexes,2017,https://boxd.it/cNxw,4
2023-11-28,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2023-12-02,The Surrounding Game,2017,https://boxd.it/d3s8,2.5
2023-12-06,Dream Scenario,2023,https://boxd.it/v2h0,4
2023-12-07,May December,2023,https://boxd.it/vEE2,3.5
2023-12-07,AlphaGo,2017,https://boxd.it/geTA,4
2023-12-07,Family Switch,2023,https://boxd.it/u1nu,2
2023-12-07,Best. Christmas. Ever!,2023,https://boxd.it/Bjo0,2
2023-12-07,Josie and the Pussycats,2001,https://boxd.it/1Fdm,4
2023-12-10,Eileen,2023,https://boxd.it/oJcS,4
2023-12-12,"Silent Night, Deadly Night",1984,https://boxd.it/1rRi,2.5
2023-12-12,Napoleon,2023,https://boxd.it/shJM,3.5
2023-12-13,"Silent Night, Deadly Night Part 2",1987,https://boxd.it/CZK,3.5
2023-12-15,The Intern,2015,https://boxd.it/7AOE,5
2023-12-15,The Boy and the Heron,2023,https://boxd.it/ipeM,5
2023-12-18,Scrooged,1988,https://boxd.it/1Y9e,4
2023-12-18,Class Action,1991,https://boxd.it/1LyA,3.5
2023-12-18,Gran Turismo,2023,https://boxd.it/B2lS,3
2023-12-20,Carol,2015,https://boxd.it/7DPK,4
2023-12-20,"I, Tonya",2017,https://boxd.it/dzR0,4
2023-12-21,The 'Burbs,1989,https://boxd.it/1SDi,3
2023-12-21,Genie,2023,https://boxd.it/J73K,3
2023-12-21,They Came Together,2014,https://boxd.it/5uyQ,4
2023-12-21,Scream VI,2023,https://boxd.it/zdfW,4
2023-12-21,Mr. Dough and the Egg Princess,2010,https://boxd.it/6otM,4
2023-12-23,Poor Things,2023,https://boxd.it/tNWU,5
2023-12-23,The Muppet Christmas Carol,1992,https://boxd.it/1WgC,5
2023-12-23,The Powerpuff Girls Movie,2002,https://boxd.it/ibg,3
2023-12-23,Anyone But You,2023,https://boxd.it/EzA8,4
2023-12-25,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4
2023-12-25,Brick,2005,https://boxd.it/1Z6A,4
2023-12-25,The Room,2003,https://boxd.it/1ICY,5
2023-12-25,Mandy,2018,https://boxd.it/gtti,3.5
2023-12-25,Saltburn,2023,https://boxd.it/z4eg,2.5
2023-12-26,Die Hard,1988,https://boxd.it/2a7u,5
2023-12-26,American Fiction,2023,https://boxd.it/DYHm,4
2023-12-27,Aquaman,2018,https://boxd.it/9ru0,2
2023-12-27,Aquaman and the Lost Kingdom,2023,https://boxd.it/l1LS,2
2023-12-27,The Hunt,2020,https://boxd.it/iE9i,2.5
2023-12-28,Black Christmas,1974,https://boxd.it/1Js6,4
2023-12-28,Reality,2023,https://boxd.it/BeLI,4
2023-12-31,Ferrari,2023,https://boxd.it/cEtq,4
2023-12-31,Shiva Baby,2020,https://boxd.it/oIv0,4
2023-12-31,The Circle,2017,https://boxd.it/bj1I,3.5
2024-01-02,Every Body,2023,https://boxd.it/Gb18,4
2024-01-02,The Holdovers,2023,https://boxd.it/vHza,4
2024-01-02,Austenland,2013,https://boxd.it/4V3y,2
2024-01-03,The Man in the Iron Mask,1998,https://boxd.it/1YZO,2
2024-01-06,The Iron Claw,2023,https://boxd.it/w5Pm,5
2024-01-06,Anatomy of a Fall,2023,https://boxd.it/yuDE,5
2024-01-06,Leave the World Behind,2023,https://boxd.it/re0i,4
2024-01-06,Thief,1981,https://boxd.it/1TEc,4
2024-01-06,Romeo + Juliet,1996,https://boxd.it/2ama,5
2024-01-08,Night Swim,2024,https://boxd.it/EyB0,2.5
2024-01-09,The Marvels,2023,https://boxd.it/mwU4,4
2024-01-10,Fire Island,2022,https://boxd.it/vV8C,2.5
2024-01-11,Double Indemnity,1944,https://boxd.it/297I,5
2024-01-11,The Apartment,1960,https://boxd.it/2aGE,4
2024-01-12,Biosphere,2022,https://boxd.it/wHXy,4
2024-01-16,Set It Up,2018,https://boxd.it/dpik,4
2024-01-16,Migration,2023,https://boxd.it/ztfo,2.5
2024-01-17,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,4
2024-01-17,The Others,2001,https://boxd.it/27Po,5
2024-01-17,The Curse,2023,https://boxd.it/IWYq,5
2024-01-18,Eden Lake,2008,https://boxd.it/1Q1m,3
2024-01-18,Birth/Rebirth,2023,https://boxd.it/E34E,3
2024-01-18,Be Kind Rewind,2008,https://boxd.it/23Au,4
2024-01-18,The First Purge,2018,https://boxd.it/fJfk,3
2024-01-19,Save the Date,2012,https://boxd.it/2Y3C,3.5
2024-01-19,Nocturne,2020,https://boxd.it/nTaK,3.5
2024-01-19,Flight,2012,https://boxd.it/35Ca,3.5
2024-01-19,Swimfan,2002,https://boxd.it/1DbS,2
2024-01-20,The Favourite,2018,https://boxd.it/d2hI,5
2024-01-21,M,1931,https://boxd.it/29vq,4
2024-01-21,Poison,2023,https://boxd.it/Is7Q,4
2024-01-21,The Rat Catcher,2023,https://boxd.it/Is8a,3
2024-01-21,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4
2024-01-21,The Swan,2023,https://boxd.it/Is80,3
2024-01-21,Do You Like to Read?,2012,https://boxd.it/jMMY,3
2024-01-21,Come Together,2016,https://boxd.it/wVA4,2
2024-01-21,Castello Cavalcanti,2013,https://boxd.it/6WlM,4
2024-01-21,Hotel Chevalier,2007,https://boxd.it/21Ic,4
2024-01-21,Cousin Ben Troop Screening,2012,https://boxd.it/49SS,4
2024-01-21,Barry Lyndon,1975,https://boxd.it/25A2,5
2024-01-22,Self Reliance,2023,https://boxd.it/EzDG,4
2024-01-22,A Quiet Place,2018,https://boxd.it/fVJQ,4
2024-01-23,For Your Consideration,2006,https://boxd.it/1NmG,3
2024-01-24,I Could Never Be Your Woman,2007,https://boxd.it/1MZi,2
2024-01-24,The Village,2004,https://boxd.it/21iS,5
2024-01-24,The Lobster,2015,https://boxd.it/7tnw,4
2024-01-25,Kinetta,2005,https://boxd.it/3d2Y,1
2024-01-26,Alps,2011,https://boxd.it/2RHg,2.5
2024-01-26,Nimic,2019,https://boxd.it/n10Q,4
2024-01-26,Necktie,2013,https://boxd.it/CfYA,3.5
2024-01-26,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,5
2024-01-27,Happy Death Day,2017,https://boxd.it/fDz4,3.5
2024-01-28,Mad Max,1979,https://boxd.it/1Y7i,1.5
2024-01-28,Mean Girls,2024,https://boxd.it/p6nO,4
2024-01-30,Miami Vice,2006,https://boxd.it/2bbW,2.5
2024-01-30,Dogtooth,2009,https://boxd.it/158K,4
2024-01-30,Collateral,2004,https://boxd.it/28F0,4
2024-01-31,Repo! The Genetic Opera,2008,https://boxd.it/1Ogu,2
2024-02-01,The Zone of Interest,2023,https://boxd.it/gJsA,4
2024-02-01,Happy Death Day 2U,2019,https://boxd.it/ixt6,3.5
